,trial,mean1,mean2,median.sampsmu1,lb.mu1,ub.mu1,width.mu1,cover.mu1,median.samps.mu2,lb.mu2,ub.mu2,width.mu2,cover.mu2,perc.correct,lb.tdist,ub.tdist,width.tdist,cover.tdist.mean1,cover.tdist.mean2,lb.bca.exp,ub.bca.exp,width.bca.exp,cover.bca.exp.mean1,cover.bca.exp.mean2,muprior1,muprior2
1,1,40,70,54.56424423,45.25494578,63.1547564,17.89981063,0,73.96177803,68.49919657,80.27991951,11.78072295,1,0.68,62.99696703,73.43544,10.43847297,0,1,61.27762306,72.37323513,11.09561207,0,1,50,80
2,2,40,70,55.84115826,48.7415297,62.14243905,13.40090935,0,74.40668667,67.83006726,80.56874931,12.73868205,1,0.68,63.85080751,73.30335809,9.452550579,0,1,63.55459375,72.85693717,9.302343418,0,1,50,80
3,3,40,70,61.41015544,53.05258918,69.09657238,16.0439832,0,76.31449917,70.56603038,82.54255234,11.97652196,0,0.76,69.45700784,76.54456197,7.087554128,0,1,69.7398602,76.93986829,7.200008092,0,1,50,80
4,4,40,70,54.95865793,46.83516553,61.66387169,14.82870616,0,74.12999356,68.62774215,80.14686237,11.51912021,1,0.64,61.98793235,72.46169221,10.47375986,0,1,60.57344933,71.95592392,11.38247459,0,1,50,80
5,5,40,70,53.00269792,43.44229852,60.49077459,17.04847607,0,75.70554068,70.76990483,81.72900168,10.95909685,0,0.76,64.16453058,75.01471126,10.85018068,0,1,62.67592059,74.10990069,11.4339801,0,1,50,80
6,6,40,70,52.2056557,44.7478614,58.55326856,13.80540717,0,75.58162868,69.59324934,82.74406445,13.15081511,1,0.6,61.24616525,73.36458657,12.11842131,0,1,60.08345307,72.80848826,12.72503518,0,1,50,80
7,7,40,70,59.63035293,50.21132601,66.76372756,16.55240154,0,77.35563626,71.36616589,83.47728951,12.11112361,0,0.8,69.34156595,77.55722091,8.215654959,0,1,69.39151951,77.55589743,8.164377914,0,1,50,80
8,8,40,70,54.40816655,47.34549342,61.30140193,13.95590851,0,78.1419015,72.00899454,84.77067989,12.76168535,0,0.64,63.88562026,75.73320021,11.84757995,0,1,63.73383797,75.52481126,11.79097329,0,1,50,80
9,9,40,70,58.52457462,50.4638866,65.30397256,14.84008596,0,77.94086831,72.18880278,83.99016448,11.8013617,0,0.72,68.25615915,77.39755598,9.14139683,0,1,67.90171599,77.68288965,9.781173659,0,1,50,80
10,10,40,70,53.0927592,43.19333673,60.1976349,17.00429816,0,74.85476057,69.76696385,80.58495206,10.81798821,1,0.68,63.09638582,74.2724346,11.17604878,0,1,61.20843057,73.84334004,12.63490948,0,1,50,80
11,11,40,70,55.58364974,46.94593719,62.16139066,15.21545347,0,76.85885744,71.18471712,83.16152121,11.97680409,0,0.68,63.88564314,74.53168159,10.64603845,0,1,63.50423621,73.97384792,10.46961171,0,1,50,80
12,12,40,70,58.38613456,50.47659741,65.35005935,14.87346195,0,79.61648933,74.31810875,85.29124585,10.97313709,0,0.76,70.17040976,79.33429125,9.163881487,0,0,69.80750803,78.96321098,9.155702949,0,1,50,80
13,13,40,70,60.17907313,51.66119786,66.28442532,14.62322746,0,76.81910536,70.83321403,84.10393166,13.27071763,0,0.52,66.80737206,75.52148139,8.714109331,0,1,67.18526804,75.40751524,8.222247199,0,1,50,80
14,14,40,70,53.92367691,48.04377974,60.60039858,12.55661884,0,74.27591538,67.77612289,80.27475264,12.49862975,1,0.64,59.9851945,70.94893753,10.96374303,0,1,59.22446834,70.48946563,11.26499729,0,1,50,80
15,15,40,70,52.66188965,44.84719066,59.57149881,14.72430815,0,75.65555837,69.85766914,82.42757138,12.56990224,1,0.76,62.81082488,74.20187084,11.39104596,0,1,61.59483982,73.19146717,11.59662735,0,1,50,80
16,16,40,70,54.09773085,46.40607839,62.13984923,15.73377085,0,79.57968796,73.21685704,85.92706852,12.71021148,0,0.52,61.88581156,74.83306421,12.94725266,0,1,61.26828502,74.70094239,13.43265737,0,1,50,80
17,17,40,70,56.75950009,47.20111384,63.30311087,16.10199703,0,75.45000919,69.08038998,81.76705357,12.68666359,1,0.72,65.08715709,74.49166205,9.404504968,0,1,64.90993564,74.04693813,9.137002482,0,1,50,80
18,18,40,70,58.2093359,50.71814179,64.76225809,14.0441163,0,75.74243442,69.94132437,81.92803118,11.98670681,1,0.72,66.72507059,75.58804971,8.862979128,0,1,66.7207569,75.44712243,8.726365527,0,1,50,80
19,19,40,70,58.56703538,50.3624749,65.36072857,14.99825367,0,76.91826052,70.22186009,83.7461151,13.52425501,0,0.64,66.07616473,75.70431463,9.628149902,0,1,65.6399566,75.28393774,9.643981139,0,1,50,80
20,20,40,70,54.29835846,47.91620523,60.57257948,12.65637425,0,80.49630991,74.4088578,85.82090752,11.41204972,0,0.64,65.2027279,77.82328312,12.62055522,0,1,63.90485966,77.05607564,13.15121598,0,1,50,80
21,21,40,70,50.67486987,41.23033165,56.97108933,15.74075768,0,74.84168443,68.14698786,80.86950252,12.72251466,1,0.64,58.91880607,71.85062262,12.93181655,0,1,56.54860196,70.75105706,14.2024551,0,1,50,80
22,22,40,70,55.29071587,47.94788446,62.31728292,14.36939846,0,79.39472139,73.33773224,84.81150942,11.47377718,0,0.6,65.00440437,76.87051106,11.86610669,0,1,64.57004518,76.71112034,12.14107516,0,1,50,80
23,23,40,70,49.05008186,41.19026379,55.60305477,14.41279098,0,76.86446656,70.96273393,83.16867366,12.20593974,0,0.72,59.54114241,73.5741726,14.03303019,0,1,57.78893384,72.53920346,14.75026962,0,1,50,80
24,24,40,70,54.84277357,46.23035219,60.478375,14.24802281,0,77.95229399,73.07891119,83.82735499,10.7484438,0,0.72,65.83663333,76.87303662,11.03640329,0,1,65.38089297,76.1532764,10.77238343,0,1,50,80
25,25,40,70,61.04747418,50.705248,68.22039678,17.51514878,0,75.53561119,70.23409963,82.51674692,12.28264729,0,0.76,68.40057279,75.87700243,7.476429645,0,1,67.96597084,75.53655892,7.570588084,0,1,50,80
26,26,40,70,54.24578911,46.2038489,61.47028516,15.26643626,0,79.39773671,74.28405021,85.48219777,11.19814756,0,0.76,66.50546909,78.34420214,11.83873305,0,1,66.23551837,77.7583426,11.52282423,0,1,50,80
27,27,40,70,57.86855137,50.05158421,64.77695682,14.72537261,0,71.53400631,65.25501596,78.01754175,12.76252579,1,0.72,63.15951518,70.61469672,7.455181532,0,1,62.35468509,69.94240797,7.587722885,0,0,50,80
28,28,40,70,57.12939437,50.07567764,62.71829655,12.64261891,0,76.5635668,70.72032484,82.71267435,11.9923495,0,0.6,64.17163332,74.33471089,10.16307757,0,1,64.08611417,73.92774951,9.841635337,0,1,50,80
29,29,40,70,55.56499679,44.72598505,63.89402197,19.16803692,0,74.92328819,69.32532477,82.02056272,12.69523794,1,0.76,64.76298026,74.39263914,9.629658872,0,1,63.88246299,73.7033211,9.820858114,0,1,50,80
30,30,40,70,56.14642838,49.55281632,62.71734887,13.16453255,0,77.87395623,71.90201766,84.10882336,12.20680571,0,0.68,65.85707863,76.4450718,10.58799317,0,1,65.12088702,76.31542718,11.19454016,0,1,50,80
31,31,40,70,56.52746127,48.65771955,64.12961228,15.47189273,0,76.93369434,71.86749285,83.6615765,11.79408365,0,0.84,67.19273715,76.73320354,9.540466391,0,1,67.23218451,76.10107644,8.868891926,0,1,50,80
32,32,40,70,52.58719208,46.70498018,59.55051304,12.84553287,0,75.64807978,70.14196592,82.17433113,12.03236521,0,0.68,61.11203989,72.86803779,11.7559979,0,1,60.51706114,72.54995733,12.0328962,0,1,50,80
33,33,40,70,57.92887048,50.04310815,64.71980857,14.67670042,0,78.5155319,72.35607241,85.04238051,12.6863081,0,0.56,65.83603051,76.55804893,10.72201841,0,1,65.54163392,76.6887537,11.14711978,0,1,50,80
34,34,40,70,60.24513697,53.10030786,67.13349866,14.0331908,0,76.43702168,69.88043328,82.38764787,12.50721458,1,0.6,67.35451022,75.6431611,8.288650873,0,1,67.82451448,76.12507099,8.300556507,0,1,50,80
35,35,40,70,49.86292689,42.52198042,55.85927284,13.33729242,0,76.89766565,71.13130871,83.71812079,12.58681209,0,0.56,58.78760903,72.8636301,14.07602108,0,1,57.23815584,71.7713471,14.53319126,0,1,50,80
36,36,40,70,56.31034868,47.75906106,63.51019505,15.75113398,0,77.71090168,71.83401494,84.54767312,12.71365818,0,0.68,66.27353374,76.45738014,10.1838464,0,1,66.06423522,76.00889386,9.944658633,0,1,50,80
37,37,40,70,55.33470014,46.73359459,61.9818889,15.24829431,0,75.9002827,70.10034641,82.56664255,12.46629614,0,0.64,63.36363803,73.64263503,10.278997,0,1,61.9064742,72.95773948,11.05126527,0,1,50,80
38,38,40,70,59.75229046,52.54088306,67.03688392,14.49600086,0,77.38658903,69.85700158,83.7101891,13.85318752,1,0.64,66.9225668,76.04092428,9.118357478,0,1,66.73972605,75.77728455,9.037558507,0,1,50,80
39,39,40,70,58.16682403,51.21319251,64.36937424,13.15618173,0,72.28919079,65.23185629,78.81936604,13.58750975,1,0.6,62.02304124,70.46736078,8.444319544,0,1,61.9419434,70.2192586,8.277315206,0,1,50,80
40,40,40,70,56.58026951,47.39673395,65.44073199,18.04399804,0,77.69904662,71.67614757,83.21347005,11.53732248,0,0.88,69.2829014,78.06105894,8.778157536,0,1,68.05522765,77.41761042,9.362382773,0,1,50,80
41,41,40,70,59.60664858,52.14028485,66.21378164,14.07349679,0,74.82657629,68.1775708,81.24179458,13.06422378,1,0.64,66.85980078,74.7346711,7.874870324,0,1,66.97635094,75.03711713,8.060766189,0,1,50,80
42,42,40,70,53.37962428,44.37656807,60.90389604,16.52732798,0,76.60658006,70.4594074,83.03191788,12.57251048,0,0.52,61.2585891,73.09748531,11.83889621,0,1,60.69762927,72.76657698,12.06894771,0,1,50,80
43,43,40,70,52.99495273,46.49050551,58.80165669,12.31115118,0,79.71333955,73.49620391,86.07214914,12.57594523,0,0.56,61.68340396,75.23740568,13.55400173,0,1,61.77117182,75.25895447,13.48778265,0,1,50,80
44,44,40,70,57.1470518,47.39761663,64.05447624,16.6568596,0,77.89297873,71.63186259,84.52692142,12.89505883,0,0.64,66.4472228,76.39704525,9.949822446,0,1,66.53309823,76.81338658,10.28028834,0,1,50,80
45,45,40,70,59.28479012,52.02520189,65.60449583,13.57929394,0,75.84779354,69.71239781,83.05666414,13.34426633,1,0.76,67.78765396,75.95585142,8.168197458,0,1,67.17054185,75.261867,8.091325153,0,1,50,80
46,46,40,70,53.27386769,45.98085658,59.47814147,13.49728489,0,80.08904526,74.66937412,85.77761658,11.10824246,0,0.56,64.66374834,77.95368792,13.28993958,0,1,63.70744152,77.19666531,13.48922379,0,1,50,80
47,47,40,70,58.36197693,52.06239077,64.51407468,12.4516839,0,78.91625566,72.11566383,85.29801204,13.18234821,0,0.52,65.31133647,75.65071761,10.33938113,0,1,65.7043892,76.20111029,10.49672108,0,1,50,80
48,48,40,70,58.47296355,49.64306566,67.06277086,17.41970521,0,77.08646092,71.72911358,83.37115174,11.64203816,0,0.68,68.5518249,77.14890171,8.597076819,0,1,68.06476416,76.74259124,8.677827075,0,1,50,80
49,49,40,70,59.08437421,49.18835638,65.65848196,16.47012558,0,77.97102416,72.04648425,85.79647705,13.74999281,0,0.68,68.84541261,77.73117861,8.885766002,0,1,68.36832805,77.18862909,8.820301033,0,1,50,80
50,50,40,70,55.37373611,47.21106043,61.74344006,14.53237963,0,74.21802087,67.95151433,81.27650481,13.32499048,1,0.64,61.66058522,71.80191213,10.14132692,0,1,61.11578559,71.549691,10.43390541,0,1,50,80
51,51,40,70,57.22457534,47.72941612,64.05418528,16.32476916,0,77.2002075,71.99617577,83.87144589,11.87527012,0,0.72,66.41672063,76.143035,9.726314367,0,1,66.17361899,75.79132311,9.61770412,0,1,50,80
52,52,40,70,57.6805585,49.382763,63.99543708,14.61267408,0,75.45549726,69.98729101,81.81375415,11.82646314,0,0.6,63.7994595,73.1435548,9.3440953,0,1,64.02064175,73.38225791,9.361616158,0,1,50,80
53,53,40,70,48.72221808,40.94697114,56.79975058,15.85277944,0,78.07661011,72.48488583,83.26608658,10.78120075,0,0.68,61.94682698,75.97607461,14.02924763,0,1,60.81415541,75.13206507,14.31790967,0,1,50,80
54,54,40,70,52.81117697,45.75800334,58.56126163,12.80325829,0,77.5495661,71.21997234,84.39994475,13.17997241,0,0.52,60.60863428,73.43665118,12.8280169,0,1,60.03562943,73.23691041,13.20128098,0,1,50,80
55,55,40,70,53.47279381,46.99586293,59.7058733,12.71001038,0,78.32888377,72.04027088,84.96913722,12.92886634,0,0.56,61.97099672,74.37027247,12.39927574,0,1,61.54970661,74.10595089,12.55624428,0,1,50,80
56,56,40,70,57.3802471,48.77058677,65.43015214,16.65956537,0,75.69233812,70.29836217,81.80509253,11.50673036,0,0.76,66.87207305,75.84767701,8.975603965,0,1,65.85199007,75.19487068,9.342880611,0,1,50,80
57,57,40,70,60.73229599,52.97602298,67.06910616,14.09308318,0,73.35733557,66.9357009,80.34779542,13.41209453,1,0.6,64.96335689,72.35111913,7.387762235,0,1,65.06350298,72.73389833,7.670395348,0,1,50,80
58,58,40,70,58.55154978,51.44839549,65.24718608,13.79879059,0,76.97695001,69.39713579,84.03648046,14.63934467,1,0.72,66.06309176,75.2821996,9.219107846,0,1,65.82425513,75.16503818,9.340783052,0,1,50,80
59,59,40,70,60.42231151,52.67391965,66.42514742,13.75122777,0,72.94702322,66.45714708,79.61792965,13.16078258,1,0.68,65.88020928,72.71363265,6.83342337,0,1,66.08624161,72.84564609,6.759404478,0,1,50,80
60,60,40,70,59.36181388,50.48512172,65.95923098,15.47410926,0,76.67831828,71.23240221,82.95718579,11.72478358,0,0.72,67.51471338,75.9098738,8.395160422,0,1,67.9171779,75.7429707,7.825792801,0,1,50,80
61,61,40,70,56.45995599,45.87629929,63.58412669,17.7078274,0,76.40218812,70.34176726,82.74104053,12.39927327,0,0.72,65.02603014,75.12770176,10.10167162,0,1,64.90840732,75.30568007,10.39727275,0,1,50,80
62,62,40,70,53.44138053,46.0007275,60.60156032,14.60083282,0,74.33410144,68.50285134,81.55444459,13.05159326,1,0.64,61.14261908,72.5960134,11.45339433,0,1,60.14374243,72.06279424,11.91905181,0,1,50,80
63,63,40,70,58.94232989,51.11073272,65.6110905,14.50035779,0,79.27200319,73.33682004,85.76454848,12.42772844,0,0.6,68.30340274,77.99468461,9.69128187,0,1,68.2148904,77.78970082,9.574810413,0,1,50,80
64,64,40,70,53.88137392,44.90479854,60.40798658,15.50318804,0,75.28585387,68.71638949,81.90790485,13.19151536,1,0.68,61.23421284,72.30032045,11.06610761,0,1,60.40234467,72.03464252,11.63229785,0,1,50,80
65,65,40,70,55.07512437,47.68153556,61.20128149,13.51974593,0,78.34093967,72.76349926,84.80688135,12.0433821,0,0.72,64.27034247,75.95601761,11.68567514,0,1,64.25601712,75.3557732,11.09975608,0,1,50,80
66,66,40,70,56.40393461,47.56898508,63.38091995,15.81193487,0,73.82019086,67.76209454,81.59505117,13.83295663,1,0.64,62.60144099,72.05682934,9.455388353,0,1,62.24040599,71.59104295,9.350636959,0,1,50,80
67,67,40,70,54.87957598,47.21350449,60.93845445,13.72494997,0,79.1526445,73.34474014,85.35657855,12.01183841,0,0.64,63.56992069,75.76452112,12.19460043,0,1,62.91560421,75.30397295,12.38836875,0,1,50,80
68,68,40,70,56.61311644,49.67966453,62.91860421,13.23893968,0,80.98898188,74.60899768,86.70703592,12.09803824,0,0.44,62.90631198,75.15311961,12.24680763,0,1,63.06660945,75.30274382,12.23613437,0,1,50,80
69,69,40,70,56.88685993,49.14573686,63.68237557,14.53663871,0,73.32784705,68.2761008,79.33420551,11.05810471,1,0.72,64.98101356,73.7228791,8.741865548,0,1,64.26750943,72.9822675,8.71475807,0,1,50,80
70,70,40,70,53.44737303,46.23317069,59.99443393,13.76126324,0,78.05285665,72.33836384,84.45253168,12.11416784,0,0.64,62.34323111,74.73041914,12.38718803,0,1,61.7312409,74.546887,12.8156461,0,1,50,80
71,71,40,70,60.35886105,53.21704082,67.2556115,14.03857069,0,78.54351456,71.79135736,85.88073554,14.08937817,0,0.56,67.67779434,76.42466607,8.74687173,0,1,68.28765424,76.5262297,8.238575456,0,1,50,80
72,72,40,70,56.12973215,49.87778298,62.52485708,12.64707411,0,75.84413967,67.91951818,83.96711157,16.04759339,1,0.44,60.39005741,71.12934253,10.73928512,0,1,60.38738964,71.27066426,10.88327462,0,1,50,80
73,73,40,70,60.50961666,52.34717006,66.85677736,14.5096073,0,72.8135799,67.55540254,79.44289661,11.88749406,1,0.64,64.85804461,72.32612022,7.468075607,0,1,64.74255717,72.4062769,7.66371973,0,1,50,80
74,74,40,70,58.31464232,50.57150134,65.6811198,15.10961846,0,75.388071,69.32713945,82.48012906,13.15298961,1,0.64,65.57585424,74.67908772,9.103233481,0,1,65.56509065,74.44572163,8.880630981,0,1,50,80
75,75,40,70,58.25489317,48.19791713,64.9970593,16.79914217,0,76.01489378,70.89144012,82.05970079,11.16826067,0,0.76,67.07434626,75.96978563,8.89543937,0,1,66.59588486,75.63388167,9.037996809,0,1,50,80
76,76,40,70,57.66947956,48.18191635,67.54672862,19.36481228,0,79.53796879,74.35157159,85.4956745,11.14410292,0,0.76,71.63082371,80.76151977,9.130696063,0,0,70.35149885,79.98435081,9.63285196,0,0,50,80
77,77,40,70,55.59638128,47.67341312,62.88139762,15.20798451,0,77.65644675,72.55297388,83.96921766,11.41624378,0,0.8,69.36003016,78.53068664,9.170656487,0,1,68.49048543,77.72298849,9.232503065,0,1,50,80
78,78,40,70,60.91834092,49.18834897,69.90605151,20.71770254,0,77.50816525,72.34412536,83.47818571,11.13406035,0,0.8,71.32916962,78.01285956,6.683689936,0,0,71.65289,78.23821561,6.585325615,0,0,50,80
79,79,40,70,56.83329943,50.35272086,63.32477693,12.97205607,0,76.93074557,70.14964417,83.37137466,13.22173049,0,0.6,64.35553185,74.8820227,10.52649084,0,1,63.89703966,74.52632189,10.62928224,0,1,50,80
80,80,40,70,54.42085835,46.48618459,61.62695557,15.14077098,0,75.43243705,69.54061652,82.43529638,12.89467985,1,0.72,62.93617355,73.46830079,10.53212724,0,1,62.76802507,73.23275806,10.46473299,0,1,50,80
81,81,40,70,57.47667738,49.9403784,63.4475299,13.5071515,0,76.7636165,70.66057349,84.5531263,13.89255281,0,0.64,66.1474802,76.03862907,9.891148877,0,1,66.07445413,76.08489626,10.01044212,0,1,50,80
82,82,40,70,57.31781794,49.12589675,65.03543916,15.90954241,0,79.58438711,73.86798851,86.16377659,12.29578809,0,0.76,67.68026396,78.18162259,10.50135862,0,1,67.50170545,78.34954695,10.84784151,0,1,50,80
83,83,40,70,56.17568914,48.88472486,64.18996838,15.30524351,0,76.47935433,70.87991844,82.94373393,12.06381549,0,0.68,67.14816416,76.51501969,9.366855531,0,1,66.11699402,75.82876384,9.711769827,0,1,50,80
84,84,40,70,57.93031574,49.91273407,65.33192823,15.41919417,0,77.60272404,71.95197915,82.93322418,10.98124502,0,0.72,67.91610491,77.26905378,9.352948867,0,1,67.70468259,76.72420817,9.019525584,0,1,50,80
85,85,40,70,56.40685663,49.15215218,62.59655987,13.44440769,0,77.29880104,70.64809178,84.48525244,13.83716066,0,0.6,63.31407139,73.84638287,10.53231148,0,1,63.05855155,73.89839747,10.83984592,0,1,50,80
86,86,40,70,58.65140827,51.40475057,64.90132137,13.4965708,0,75.68537459,69.03781997,81.76755508,12.72973511,1,0.52,63.87326561,72.92754054,9.054274925,0,1,64.04089311,73.2468678,9.20597469,0,1,50,80
87,87,40,70,55.68346713,48.7644402,61.457517,12.6930768,0,76.59532008,69.92080178,83.03683295,13.11603117,1,0.64,62.09497955,72.63352577,10.53854622,0,1,62.19615157,72.91885578,10.72270421,0,1,50,80
88,88,40,70,55.06670171,49.65965086,61.2237554,11.56410454,0,73.0523509,67.01988073,79.50310731,12.48322658,1,0.68,60.23654875,70.11749364,9.880944893,0,1,59.16303521,69.68826508,10.52522987,0,0,50,80
89,89,40,70,56.39976713,48.80947112,63.39169972,14.5822286,0,77.02935345,71.52238533,84.43484691,12.91246158,0,0.68,64.57117317,74.85585871,10.28468553,0,1,64.03717344,74.32577623,10.28860279,0,1,50,80
90,90,40,70,57.32841064,51.36794638,63.08310959,11.71516321,0,75.04222637,68.97142572,81.52030511,12.5488794,1,0.6,62.81994357,72.37634811,9.556404536,0,1,62.70331084,72.16431065,9.460999812,0,1,50,80
91,91,40,70,60.07347605,50.8494956,66.28469571,15.43520011,0,75.36697569,69.71522884,81.9480859,12.23285705,1,0.76,67.82831632,75.57807375,7.749757433,0,1,67.18052931,75.15169101,7.971161695,0,1,50,80
92,92,40,70,54.65940395,47.49219243,61.25411154,13.76191911,0,76.57594777,70.94451367,83.378455,12.43394132,0,0.6,62.97983666,73.90710676,10.9272701,0,1,62.97745988,73.63575987,10.6583,0,1,50,80
93,93,40,70,56.24361876,49.71859123,63.29961288,13.58102165,0,81.05273716,75.20906543,86.35473947,11.14567405,0,0.64,67.64263959,79.50003937,11.85739978,0,1,66.73772178,78.78824309,12.05052131,0,1,50,80
94,94,40,70,50.95701454,43.73489862,57.79926988,14.06437126,0,78.37773416,72.8855984,85.04312936,12.15753096,0,0.8,65.89258757,78.31923994,12.42665237,0,1,63.24455884,76.86512725,13.62056841,0,1,50,80
95,95,40,70,53.44025359,45.7284259,60.43372885,14.70530295,0,75.325737,69.4290211,81.64467138,12.21565028,1,0.64,60.82059632,72.32657282,11.5059765,0,1,60.30764198,71.97555669,11.66791471,0,1,50,80
96,96,40,70,59.22619923,50.19970108,67.14197829,16.94227721,0,77.08438018,70.5403242,84.22253523,13.68221103,0,0.6,67.00386872,76.27750129,9.273632573,0,1,66.5546358,76.13173311,9.577097313,0,1,50,80
97,97,40,70,58.9377762,52.05608182,65.47825421,13.42217239,0,76.28508156,70.38475768,83.80608038,13.4213227,0,0.56,64.7864678,74.21386631,9.427398508,0,1,65.23002252,74.50524069,9.275218178,0,1,50,80
98,98,40,70,54.49592171,48.69036525,61.12368269,12.43331745,0,76.96962559,71.6952419,83.19129912,11.49605722,0,0.64,63.13984568,74.18957507,11.04972938,0,1,62.06404515,73.26625663,11.20221149,0,1,50,80
99,99,40,70,55.10819278,45.66097217,62.85637987,17.19540769,0,76.27296835,70.24529826,83.22006114,12.97476288,0,0.68,64.08803267,74.83699845,10.74896578,0,1,63.66376488,74.36635376,10.70258887,0,1,50,80
